,Artist,Scrape_Date,Joined,Subscribers,Total_Views,Published,Title,Category,Duration,Views,Likes,Dislikes,Paid,Family_Friendly,URL
62,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-02-27 00:00:00.000000,"ASMR Study With Me! (Inaudible whispers, tapping, paper sounds, keyboard, study ambiance)",People & Blogs,50.35,598192,9956,322,False,True,https://www.youtube.com/watch?v=EdtD6fjGjAk
63,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-02-24 00:00:00.000000,"ASMR Post-apocalyptic Roleplay: Chapter 1 (Tapping, Scratching, shaving brush, Match sounds)",People & Blogs,38.85,208586,5315,161,False,True,https://www.youtube.com/watch?v=cRgh9aNTlYg
64,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-02-14 00:00:00.000000,"ASMR 3DIO Layered sounds: The eyes of Seduction (Ear touching, Ear tapping, Kisses, Ear Brushing..)",People & Blogs,29.833333333333332,719221,12645,321,False,True,https://www.youtube.com/watch?v=OEGu6rC_fEs
65,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-30 00:00:00.000000,"ASMR 1H 3DIO TRIGGERS: intense TINGLES! (Ear brushing, ear massage, ear cleaning, tapping...)",People & Blogs,56.766666666666666,1642844,18657,753,False,True,https://www.youtube.com/watch?v=_GIYd5XQDd4
66,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-23 00:00:00.000000,"ASMR Hermione Roleplay | HARRY POTTER (Personal attention, Crinkly sounds, Light, Page turning",People & Blogs,23.283333333333335,263536,7447,167,False,True,https://www.youtube.com/watch?v=kaVuz360Cds
67,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-20 00:00:00.000000,ASMR 1h Whispering: Answering your questions!,People & Blogs,55.166666666666664,302989,5367,153,False,True,https://www.youtube.com/watch?v=6L6CqEkUE6M
68,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-13 00:00:00.000000,"ASMR 21 Personal Attention Triggers  (Scalp massage, Haircut, Wet sounds, Face brushing, kisses..)",People & Blogs,64.43333333333334,1496331,17293,767,False,True,https://www.youtube.com/watch?v=500qh8-szm4
69,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-10 00:00:00.000000,"ASMR It's Your Birthday Roleplay! (Personal attention, Hair brushing, Lotion sounds, Tapping..)",People & Blogs,46.03333333333333,321800,7106,110,False,True,https://www.youtube.com/watch?v=ONcmiFiu2UM
70,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2018-01-06 00:00:00.000000,ASMR Glow BLOOPERS! (Bêtisier),People & Blogs,7.116666666666666,471530,13079,249,False,True,https://www.youtube.com/watch?v=-hIpdl-ZBZQ
71,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-30 00:00:00.000000,ASMR Relaxing Hair Play | With my Little Cousin!!,People & Blogs,20.333333333333332,425868,7979,169,False,True,https://www.youtube.com/watch?v=DcShC-Vyga8
72,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-24 00:00:00.000000,"ASMR Christmas With You! (Doing your makeup, Eating chocolates, Tapping, Crinkly sounds...)",People & Blogs,38.2,386086,8377,207,False,True,https://www.youtube.com/watch?v=2n2ZFC8IdOc
73,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-22 00:00:00.000000,ASMR French! Je vous apprends l'Anglais! PART 2,People & Blogs,29.683333333333334,1049419,18531,402,False,True,https://www.youtube.com/watch?v=ekbzoIG5PJ4
74,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-13 00:00:00.000000,ASMR Gaming: World of Warcraft | ASMR Glow,People & Blogs,34.36666666666667,291200,7231,283,False,True,https://www.youtube.com/watch?v=DErZkNDX1v4
75,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-09 00:00:00.000000,"ASMR Star Wars REY Roleplay (personal attention, layered sounds, Kylo voice, breathing sounds...)",People & Blogs,23.683333333333334,211093,5159,209,False,True,https://www.youtube.com/watch?v=np_7bcESgVg
76,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-12-04 00:00:00.000000,"ASMR 30 Triggers to Make You Sleep & Tingle! (mic brushing, tapping, inaudible, spray, french...)",People & Blogs,82.05,1689875,18496,866,False,True,https://www.youtube.com/watch?v=F7YnVXTM6eg
77,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-11-26 00:00:00.000000,"ASMR Get Ready With Me | Glitter Freckles Makeup (Cream, Lids, Tapping, Water sounds, Spray sounds)",People & Blogs,41.28333333333333,668393,11999,259,False,True,https://www.youtube.com/watch?v=1IDigmlKAps
78,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-11-18 00:00:00.000000,ASMR Big Sister Comforting Roleplay (Soft Speaking) | ASMR Glow,People & Blogs,21.233333333333334,394540,10667,182,False,True,https://www.youtube.com/watch?v=lCtN7kg9zF0
79,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-11-15 00:00:00.000000,"ASMR Personal Attention: Face Touching with Gloves + Tweezers (Gloves sounds, tweezers sounds...)",People & Blogs,20.083333333333332,492667,8765,189,False,True,https://www.youtube.com/watch?v=5TIEzpYTHbU
80,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-11-12 00:00:00.000000,ASMR Face Brushing (With Brushing Sounds!! + Breathing sounds),People & Blogs,23.383333333333333,478395,8945,180,False,True,https://www.youtube.com/watch?v=VUGl3uzD6ZE
81,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-11-04 00:00:00.000000,"ASMR Pennywise Kidnaps You! (Layered Sounds, Inaudible Whispering, Cotton sounds...)",People & Blogs,15.566666666666666,1136452,31093,1578,False,True,https://www.youtube.com/watch?v=PO_LL2YBh7U
82,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-28 00:00:00.000000,ASMR Talking With You 👻,People & Blogs,25.516666666666666,331524,6103,174,False,True,https://www.youtube.com/watch?v=cDLI8V8JKQ8
83,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-24 00:00:00.000000,ASMR French! Je vous apprends l'Anglais!,People & Blogs,35.88333333333333,1212247,22848,654,False,True,https://www.youtube.com/watch?v=vmYrIoXv9-U
84,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-21 00:00:00.000000,ASMR Lid Sounds,People & Blogs,20.466666666666665,371994,7154,225,False,True,https://www.youtube.com/watch?v=TffaStvfcAw
85,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-14 00:00:00.000000,"ASMR Trigger Words (Sleepy, Relax, Tingles, Glow, Stipple…+)",People & Blogs,38.85,1050488,12967,539,False,True,https://www.youtube.com/watch?v=-HnS1y1oWME
86,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-07 00:00:00.000000,"ASMR Haircut Role Play (Scalp Massage, Shaving, Hair Brushing, Hair Inspection, Shampoo...)",People & Blogs,31.55,756773,9368,224,False,True,https://www.youtube.com/watch?v=05CX4gblHaE
87,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-10-04 00:00:00.000000,"ASMR Intense Layered Sounds + Closeup Hands movements (Face touching, Scalp massage, Mic Brushing",People & Blogs,30.733333333333334,496303,7809,203,False,True,https://www.youtube.com/watch?v=NggU4gXFGu4
88,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-09-27 00:00:00.000000,"ASMR Doing Gibi ASMR's Makeup (Face brushing, Tapping, Makeup Application...)",People & Blogs,32.1,919300,15511,363,False,True,https://www.youtube.com/watch?v=CT4pZwlSP8o
89,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-09-15 00:00:00.000000,"ASMR Game of Thrones RP - Treating your wounds! (Face massage, Face Touching, Scalp inspection..)",People & Blogs,31.566666666666666,430451,7280,177,False,True,https://www.youtube.com/watch?v=y-v4pWerH6c
90,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-08-20 00:00:00.000000,ASMR Letter to my 18yo self and to my SUBSCRIBERS!,People & Blogs,9.35,144742,4651,81,False,True,https://www.youtube.com/watch?v=OftlPQSEpUY
91,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-08-19 00:00:00.000000,"ASMR Whispered Nail Tapping with TASCAM (+ Mouth Sounds, Scratching, Plastic Cup, Crackling Sounds)",People & Blogs,21.2,449258,7606,184,False,True,https://www.youtube.com/watch?v=73mYuaqn2FI
92,ASMR Glow,2018-12-17,2016-10-24 00:00:00.000000,638447,103678517,2017-08-14 00:00:00.000000,"ASMR Glowy Makeup Tutorial (Tapping, Face Brushing, Cream...)",People & Blogs,54.916666666666664,703306,10920,449,False,True,https://www.youtube.com/watch?v=4eu3mZeSAhU
