,Artist,Joined,Subscribers,Total Views,Date,Title,Category,Views,Likes,Dislikes,URL
98,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-26,Lewis Hamilton - Breaking the Mold in Formula One Racing | The Daily Show,Comedy,613592,11044,333,https://www.youtube.com/watch?v=_ziYN8RDt2g
99,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-25,Filling the Swamp | The Daily Show,Comedy,1242981,15884,591,https://www.youtube.com/watch?v=LsGL5MXRVmc
100,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-25,Voter Suppression & The GOP’s Indirect Racism - Between the Scenes | The Daily Show,Comedy,382252,9160,145,https://www.youtube.com/watch?v=BzRSEwrhcTg
101,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-25,Ronny Chieng: Here for the Free Food | The Daily Show,Comedy,90319,2469,27,https://www.youtube.com/watch?v=l6emhR6x7JQ
102,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-25,Julián Castro - “An Unlikely Journey” to 2020 | The Daily Show,Comedy,184174,2567,64,https://www.youtube.com/watch?v=vSr7UDV0P-k
103,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-24,"A 100% Trump-Free Show, Vol. 2 | The Daily Show",Comedy,1010576,15565,537,https://www.youtube.com/watch?v=k2rhaXmOA5M
104,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-24,Michael Kosta: A Doctor of Many Charts | The Daily Show,Comedy,85490,2373,29,https://www.youtube.com/watch?v=5jSBB6OK-TI
105,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-24,The Problem with Political Predictions - Between the Scenes | The Daily Show,Comedy,730056,21904,286,https://www.youtube.com/watch?v=PJmOKR1hOCA
106,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-23,Big Little Allies | The Daily Show,Comedy,1763158,20152,801,https://www.youtube.com/watch?v=OTWkeN2Gyz8
107,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-23,Roy Wood Jr.: Chasing That Steve Carrell Money Since Day One | The Daily Show,Comedy,109249,2515,58,https://www.youtube.com/watch?v=b7Tm2hVcZHs
109,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-22,Melissa McCarthy - Playing an Unlikable Character in “Can You Ever Forgive Me?” | The Daily Show,Comedy,514906,7502,506,https://www.youtube.com/watch?v=bR-UMYbQ6sA
110,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-22,Today’s Future Now - Wearable Technology | The Daily Show,Comedy,366409,7866,139,https://www.youtube.com/watch?v=7juNw0AA0b0
108,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-22,Desi Lydic: Woman. Journalist. Woman Journalist. | The Daily Show,Comedy,148275,3310,158,https://www.youtube.com/watch?v=2Wy6607Kj-Y
111,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-21,Stephen Hawking Posthumously Answers the Big Questions & Kleenex Accused of Sexism | The Daily Show,Comedy,927603,15541,575,https://www.youtube.com/watch?v=6SlVmncStz4
112,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-21,Black Girl Midterm Magic | The Daily Show,Comedy,351890,7924,198,https://www.youtube.com/watch?v=w7dsK9qgn9A
113,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-20,Canada Legalizes Marijuana & Slavery Ban Goes on Colorado’s Ballot | The Daily Show,Comedy,600834,17888,217,https://www.youtube.com/watch?v=6du4K8c8KCI
114,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-20,CP Time: The History of Protests by Black Athletes | The Daily Show,Comedy,290901,7328,116,https://www.youtube.com/watch?v=mlTR2Ijh3fE
115,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-19,Climate Change Threatens Beer Production & America’s Projected $1 Trillion Deficit | The Daily Show,Comedy,454141,9380,115,https://www.youtube.com/watch?v=sBCHcnvwfzA
116,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-19,Vandals Deface a Historic Statue & The National Park Service Proposes a Protest Fee | The Daily Show,Comedy,782121,15194,343,https://www.youtube.com/watch?v=QeyyubvBy4A
117,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-18,GOP Voter Suppression Ramps Up in Georgia | The Daily Show,Comedy,2097032,34616,1339,https://www.youtube.com/watch?v=fQft4Rr5J-k
118,The Daily Show with Trevor Noah,2016-05-26,4112972,1346060628,2018-10-18,Elizabeth Warren Proves Her Native American Heritage | The Daily Show,Comedy,886348,16595,1415,https://www.youtube.com/watch?v=wVM1D-gwDtM
